frame_idx,sensor_rmse,sensor_mae,sensor_abs_rel,sensor_delta_125,da3_rmse,da3_mae,da3_abs_rel,da3_delta_125,v9_rmse,v9_mae,v9_abs_rel,v9_delta_125,fused_da3_rmse,fused_da3_mae,fused_da3_abs_rel,fused_da3_delta_125,fused_v9_rmse,fused_v9_mae,fused_v9_abs_rel,fused_v9_delta_125,sensor_valid_pct,dead_pct
85,0.0,0.0,0.0,100.0,0.8622546792030334,0.4824272692203522,0.32498249411582947,31.17484406147515,2.3489601612091064,1.8005250692367554,3.126845598220825,9.722847405311555,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.248697916666668,79.75130208333333
86,0.0,0.0,0.0,100.0,0.8824262022972107,0.4902823567390442,0.32126477360725403,32.454727073532254,2.0955772399902344,1.6312971115112305,2.9218451976776123,10.659276922085455,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.204427083333336,79.79557291666667
87,0.0,0.0,0.0,100.0,0.9160822629928589,0.5106247067451477,0.32981163263320923,31.08968177434908,2.141900062561035,1.6292035579681396,2.8737640380859375,10.273224043715846,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.25390625,79.74609375
88,0.0,0.0,0.0,100.0,0.910262405872345,0.5057453513145447,0.33653855323791504,29.484218629715166,2.0195767879486084,1.5822831392288208,2.8570475578308105,9.83448806774442,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.296875,79.703125
89,0.0,0.0,0.0,100.0,0.9161201119422913,0.5004004836082458,0.31788307428359985,36.24331891066429,1.9536986351013184,1.487845778465271,2.7015199661254883,10.753372359378977,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.463541666666664,79.53645833333334
90,0.0,0.0,0.0,100.0,0.9249542355537415,0.5081344842910767,0.32851579785346985,33.65791969649067,2.024204969406128,1.4974414110183716,2.6942005157470703,11.704078406576034,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.592447916666668,79.40755208333333
91,0.0,0.0,0.0,100.0,0.9212790131568909,0.5050443410873413,0.33211207389831543,31.428751021434408,2.061143398284912,1.5165061950683594,2.7165892124176025,10.930919605254887,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.71484375,79.28515625
92,0.0,0.0,0.0,100.0,0.9321029186248779,0.5118523836135864,0.33636823296546936,31.901066313332073,2.022198438644409,1.4631359577178955,2.6488444805145264,11.29408795507603,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.63671875,79.36328125
93,0.0,0.0,0.0,100.0,0.9492726922035217,0.5238003730773926,0.3342067301273346,35.680544183409964,2.058734893798828,1.4880685806274414,2.665592908859253,12.974743339421805,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.673177083333332,79.32682291666666
94,0.0,0.0,0.0,100.0,0.9583947658538818,0.519522488117218,0.2945657968521118,59.73049200877468,2.036632537841797,1.4788463115692139,2.644010305404663,13.30617361328737,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.774739583333332,79.22526041666667
