frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00150,A6,0.228938,0.210227,0.700758,0.047387,0.150000,0.250000,912,430,0.1977,179.15
00155,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,439,439,0.0900,13.10
00155,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,439,439,0.1770,54.10
00155,A2,0.305285,0.220367,1.000000,0.071556,0.150000,0.250000,1438,439,0.0900,74.21
00155,A3,0.305285,0.220367,1.000000,0.071556,0.150000,0.250000,1438,439,0.1770,117.75
00155,A4,0.173853,0.151920,0.689394,0.071556,0.150000,0.250000,1249,439,0.1800,118.97
00155,A5,0.305285,0.220367,1.000000,0.071556,0.150000,0.250000,1438,439,0.1909,178.46
00155,A6,0.173853,0.151920,0.689394,0.071556,0.150000,0.250000,1249,439,0.1961,165.66
00160,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,417,417,0.0900,12.57
00160,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,417,417,0.1774,55.44
00160,A2,0.302612,0.217467,1.000000,0.068726,0.150000,0.250000,1378,417,0.0900,78.16
00160,A3,0.302612,0.217467,1.000000,0.068726,0.150000,0.250000,1378,417,0.1774,121.28
00160,A4,0.177794,0.151965,0.698795,0.068726,0.150000,0.250000,1206,417,0.1800,122.71
00160,A5,0.302612,0.217467,1.000000,0.068726,0.150000,0.250000,1378,417,0.1901,186.63
00160,A6,0.177794,0.151965,0.698795,0.068726,0.150000,0.250000,1206,417,0.1950,174.05
00165,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,417,417,0.0900,13.98
00165,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,417,417,0.1795,59.22
00165,A2,0.348662,0.259030,1.000000,0.055711,0.150000,0.250000,1196,417,0.0900,82.31
00165,A3,0.348662,0.259030,1.000000,0.055711,0.150000,0.250000,1196,417,0.1795,128.30
00165,A4,0.198161,0.177503,0.685259,0.055711,0.150000,0.250000,1016,417,0.1800,127.94
00165,A5,0.348662,0.259030,1.000000,0.055711,0.150000,0.250000,1196,417,0.1901,193.90
00165,A6,0.198161,0.177503,0.685259,0.055711,0.150000,0.250000,1016,417,0.1963,180.26
00170,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,454,454,0.0900,12.82
00170,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,454,454,0.1791,56.23
00170,A2,0.382799,0.282078,1.000000,0.052488,0.150000,0.250000,1186,454,0.0900,75.11
00170,A3,0.382799,0.282078,1.000000,0.052488,0.150000,0.250000,1186,454,0.1791,119.12
00170,A4,0.201518,0.181336,0.642857,0.052488,0.150000,0.250000,971,454,0.1492,120.63
00170,A5,0.382799,0.282078,1.000000,0.052488,0.150000,0.250000,1186,454,0.1880,181.54
00170,A6,0.201518,0.181336,0.642857,0.052488,0.150000,0.250000,971,454,0.1956,168.85
00175,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,442,442,0.0900,13.48
00175,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,442,442,0.1794,49.99
00175,A2,0.362890,0.261759,1.000000,0.055595,0.150000,0.250000,1218,442,0.0900,75.91
00175,A3,0.362890,0.261759,1.000000,0.055595,0.150000,0.250000,1218,442,0.1794,112.55
00175,A4,0.197044,0.167689,0.640625,0.055595,0.150000,0.250000,1016,442,0.1409,110.82
00175,A5,0.362890,0.261759,1.000000,0.055595,0.150000,0.250000,1218,442,0.1884,176.23
00175,A6,0.197044,0.167689,0.640625,0.055595,0.150000,0.250000,1016,442,0.1955,162.86
