frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
000039,A4,0.736036,0.705451,0.942577,0.015920,0.855862,0.538516,1032,895,0.0934,50.09
000040,Baseline,1.000000,1.000000,1.000000,0.000000,0.380789,0.380789,999,999,0.0900,20.07
000040,A1,1.000000,1.000000,1.000000,0.000000,0.380789,0.380789,999,999,0.1408,43.64
000040,A2,0.809562,0.726103,1.000000,0.017536,0.380789,0.380789,1234,999,0.0900,39.54
000040,A3,0.809562,0.726103,1.000000,0.017536,0.380789,0.380789,1234,999,0.1408,63.72
000040,A4,0.786062,0.703125,0.968354,0.017536,0.873212,0.380789,1205,999,0.1085,45.07
000041,Baseline,1.000000,1.000000,1.000000,0.000000,0.364005,0.364005,913,913,0.0900,34.19
000041,A1,1.000000,1.000000,1.000000,0.000000,0.364005,0.364005,913,913,0.1200,103.50
000041,A2,0.784364,0.717635,1.000000,0.018611,0.364005,0.364005,1164,913,0.0900,76.24
000041,A3,0.784364,0.717635,1.000000,0.018611,0.364005,0.364005,1164,913,0.1200,150.05
000041,A4,0.727663,0.651376,0.907670,0.018611,0.827647,0.364005,1098,913,0.0931,90.53
000042,Baseline,1.000000,1.000000,1.000000,0.000000,0.474342,0.474342,993,993,0.0900,16.30
000042,A1,1.000000,1.000000,1.000000,0.000000,0.474342,0.474342,993,993,0.1295,40.14
000042,A2,0.823383,0.747554,1.000000,0.015887,0.474342,0.474342,1206,993,0.0900,36.10
000042,A3,0.823383,0.747554,1.000000,0.015887,0.474342,0.474342,1206,993,0.1295,59.91
000042,A4,0.808458,0.729941,0.976440,0.015887,0.604152,0.474342,1188,993,0.1238,46.41
000043,Baseline,1.000000,1.000000,1.000000,0.000000,0.304138,0.304138,1122,1122,0.0900,20.80
000043,A1,1.000000,1.000000,1.000000,0.000000,0.304138,0.304138,1122,1122,0.1404,55.34
000043,A2,0.887658,0.839815,1.000000,0.010694,0.304138,0.304138,1264,1122,0.0900,42.22
000043,A3,0.887658,0.839815,1.000000,0.010694,0.304138,0.304138,1264,1122,0.1404,88.18
000043,A4,0.848101,0.783333,0.932745,0.010694,0.900000,0.304138,1214,1122,0.0931,54.23
000044,Baseline,1.000000,1.000000,1.000000,0.000000,0.509902,0.509902,1038,1038,0.0900,17.64
000044,A1,1.000000,1.000000,1.000000,0.000000,0.509902,0.509902,1038,1038,0.1543,44.61
000044,A2,0.774049,0.702381,1.000000,0.022676,0.509902,0.509902,1341,1038,0.0900,39.61
000044,A3,0.774049,0.702381,1.000000,0.022676,0.509902,0.509902,1341,1038,0.1543,65.20
